Text;Size
de;5517
la;4450
que;3310
el;2981
y;2837
a;2775
se;2172
en;2140
su;1944
no;1937
un;1789
con;1312
los;1290
una;1272
lo;1124
por;970
había;952
ella;941
él;894
le;891
las;805
era;728
pero;723
wrath;717
al;694
sus;689
del;677
como;632
para;617
si;553
estaba;544
cuando;473
beth;440
te;420
más;419
es;412
me;382
qué;373
sobre;339
butch;313
dijo;310
hacia;308
ojos;275
sí;270
mano;267
tenía;265
cuerpo;241
algo;240
mientras;240
cabeza;237
hasta;227
ya;226
bien;225
todo;217
eso;217
podía;215
señor;215
o;212
puerta;202
tu;201
sólo;199
vez;190
muy;185
mi;171
noche;171
miró;166
sin;161
antes;161
luego;161
sido;161
poco;161
así;154
manos;154
tan;152
tiempo;152
ser;151
aunque;151
porque;149
otro;148
hombre;148
cómo;147
entre;145
dos;145
contra;143
x;143
casa;142
yo;142
boca;140
dios;140
ha;140
después;138
voz;138
está;135
pensó;135
ahora;135
dio;132
lado;131
quería;131
hubiera;130
marissa;129
he;129
también;128
sangre;127
otra;126
nuevo;126
preguntó;124
aquel;124
nada;120
nunca;120
billy;120
entonces;120
hizo;118
vampiro;117
sintió;116
durante;116
hermanos;112
ese;111
uno;111
cabello;110
capítulo;110
momento;109
estás;109
parte;109
esa;109
todos;108
hacer;107
darius;107
hecho;106
fuera;106
alguien;105
puso;102
habían;102
ver;102
aquí;101
aquella;101
habitación;99
iba;99
tú;99
fue;99
pecho;97
abrió;97
policía;97
has;97
alrededor;96
parecía;95
ellos;95
vida;94
mucho;93
ni;93
cama;92
brazos;92
sabía;91
pudo;91
tohr;91
eran;90
mismo;89
allí;89
cara;89
rhage;89
atrás;89
dirigió;89
havers;87
labios;87
estaban;87
levantó;86
dejó;85
mejor;85
sonrió;84
cerró;83
siempre;83
casi;82
aire;82
esta;82
menos;82
piel;82
quiero;81
vampiros;80
estuviera;80
toda;78
estoy;78
ante;78
cuello;77
macho;77
desde;77
estar;77
luz;76
padre;76
suelo;76
mí;75
estado;75
fuerza;75
hembra;74
josé;73
unos;73
hermano;72
esto;72
demasiado;71
rostro;71
claro;71
lugar;70
saber;70
hacía;69
tienes;69
fritz;69
bajo;69
tal;68
salir;68
gracias;67
mesa;67
coche;67
tener;66
sé;66
puedo;65
brazo;65
vista;65
guerrero;65
hombros;65
verdad;64
mirada;64
teléfono;63
eres;63
tengo;62
mujer;62
cada;61
volvió;61
hay;61
quieres;61
fuerte;61
inclinó;60
junto;60
hacerlo;60
alguna;59
asintió;59
empezó;59
vio;59
humano;58
diablos;58
frente;58
algún;58
ti;58
salió;58
zsadist;57
quién;57
garganta;57
tanto;57
haber;57
dónde;57
