Text;Size
the;3043
and;1662
to;1649
a;1467
he;1255
of;1119
was;1043
in;864
harry;809
his;805
it;804
said;738
you;691
had;620
at;558
on;554
that;508
i;500
they;459
as;451
him;398
but;388
with;337
be;326
all;323
for;322
up;318
out;316
ron;309
were;291
have;258
what;253
them;250
hagrid;243
if;222
back;220
from;219
one;210
this;203
there;198
an;197
she;193
into;192
so;192
not;191
about;191
been;189
its;181
hermione;173
me;173
off;170
got;170
their;167
could;167
didnt;165
get;165
like;163
know;159
is;152
her;151
down;150
over;149
no;149
just;147
looked;147
see;146
very;143
who;143
do;137
by;135
when;134
are;129
professor;129
we;128
going;126
then;125
your;124
hed;123
now;121
around;121
think;113
snape;112
dont;106
go;106
never;106
through;104
look;103
how;102
time;101
dumbledore;99
or;98
something;95
my;95
more;94
uncle;94
would;92
first;92
vernon;92
right;91
even;90
only;90
well;88
told;86
here;86
way;86
dudley;86
eyes;85
harrys;83
yeh;82
than;82
couldnt;82
next;82
im;81
did;81
people;80
before;80
looking;80
two;80
door;79
head;79
neville;78
thought;76
too;76
can;75
where;75
mcgonagall;75
other;74
come;74
still;74
will;73
though;73
malfoy;72
face;72
again;71
some;70
potter;69
which;69
ter;69
turned;68
last;68
us;68
wasnt;68
seemed;67
behind;66
heard;66
because;66
thats;66
boy;65
bit;65
toward;65
left;65
really;64
came;63
much;63
stone;62
mr;62
room;62
found;60
want;60
tried;60
house;60
suddenly;59
hes;59
made;59
tell;59
saw;58
any;58
aunt;58
quirrell;58
gryffindor;58
little;57
went;57
knew;57
ive;56
great;56
hogwarts;56
long;56
after;56
take;55
trying;55
let;55
once;55
wand;55
say;54
took;54
away;54
dark;52
himself;52
good;52
ever;51
keep;51
three;51
must;51
put;50
yer;50
asked;50
cant;49
petunia;49
anything;49
hadnt;49
voice;48
hand;48
inside;47
seen;47
while;47
why;47
dursley;46
pulled;46
old;46
school;46
few;46
might;46
find;45
felt;45
things;45
wood;45
make;45
day;45
feet;44
quidditch;44
black;44
open;43
started;43
mind;42
lot;42
cloak;42
saying;42
walked;42
large;41
every;41
everyone;41
youre;41
course;41
end;41
gone;41
air;40
magic;40
night;40
front;40
dursleys;40
filch;39
enough;39
sat;39
until;39
years;39
fell;39
another;39
wanted;39
thing;39
hall;39
books;38
done;38
wouldnt;38
moment;38
ill;37
almost;37
sure;37
stop;37
past;36
should;36
letter;36
later;36
try;36
name;35
already;35
our;35
floor;35
slytherin;35
nothing;35
yes;35
hat;35
called;35
better;35
always;34
owl;34
new;34
onto;34
weasley;34
points;34
reached;34
wizard;34
mirror;34
being;34
table;33
without;33
second;33
outside;33
caught;33
anyone;32
these;32
mrs;32
high;32
under;32
stood;31
kept;31
weve;31
theres;31
quickly;31
same;31
hair;30
bed;30
both;30
against;30
man;30
quite;30
mean;30
top;30
standing;29
theyd;29
own;29
life;29
whole;29
full;29
each;29
read;29
youll;29
hear;29
gave;29
stared;29
ask;28
fire;28
suppose;28
troll;28
silver;28
best;28
has;28
forward;28
noticed;27
train;27
nearly;27
fred;27
small;27
yet;27
else;27
across;27
remember;27
half;27
morning;26
big;26
peeves;26
coming;26
place;26
wall;26
fer;26
hands;26
lost;26
broom;26
o;26
gold;26
doing;25
bad;25
most;25
theyre;25
percy;25
give;25
forest;25
side;25
taken;25
hundred;25
whispered;25
hard;25
light;24
snapped;24
stopped;24
voldemort;24
four;24
window;24
year;24
many;24
shouted;24
mother;23
sort;23
talking;23
nose;23
hagrids;23
along;23
everything;23
able;23
happened;23
white;23
need;23
use;23
straight;23
red;22
holding;22
father;22
george;22
someone;22
minutes;22
staring;22
youve;22
oh;22
id;22
green;22
werent;22
ten;22
getting;21
set;21
broomstick;21
wizards;21
sorry;21
round;21
five;21
passed;21
ground;21
cold;21
students;21
rest;21
nice;21
dragon;21
wont;21
knows;21
team;21
empty;21
cat;20
move;20
moved;20
except;20
since;20
began;20
note;20
between;20
corridor;20
madam;20
those;20
pointed;20
granger;20
help;20
held;20
norbert;20
such;20
flamel;20
christmas;20
fluffy;20
crabbe;19
cupboard;19
dead;19
snapes;19
speak;19
ran;19
funny;19
quirrells;19
trouble;19
family;19
whats;19
believe;19
feel;19
rather;19
week;19
however;19
stupid;19
either;19
reason;19
dropped;19
wait;19
sitting;19
feeling;19
far;19
work;19
stay;19
don;19
managed;18
mouth;18
book;18
heart;18
hope;18
talk;18
followed;18
giant;18
catch;18
exactly;18
letters;18
does;18
somewhere;18
parents;18
world;18
castle;18
unicorn;18
arms;18
twins;18
fat;18
platform;18
seven;18
finally;18
dudleys;18
famous;18
blood;18
car;17
kill;17
isnt;17
goyle;17
knocked;17
slowly;17
gringotts;17
library;17
met;17
havent;17
making;17
sight;17
brought;17
quaffle;17
street;17
close;17
forget;17
muttered;17
sound;17
pleased;17
leave;17
word;17
common;17
dog;17
cup;17
idea;16
sit;16
run;16
call;16
loudly;16
together;16
home;16
youd;16
ollivander;16
robes;16
class;16
gotten;16
noise;16
flitwick;16
match;16
corner;16
wearing;16
seamus;16
muggle;16
watched;16
number;16
meet;16
answer;16
ceiling;16
ronan;16
seem;16
picked;16
opened;16
play;16
huge;16
hardly;16
stand;16
pointing;16
bright;16
glass;16
shook;16
woman;16
turn;16
safe;15
sorcerers;15
horrible;15
boys;15
also;15
given;15
asleep;15
smiling;15
teachers;15
stepped;15
field;15
threw;15
pale;15
cauldron;15
pair;15
realized;15
supposed;15
spoke;15
different;15
sign;15
words;15
shut;15
nine;15
fast;15
showed;15
anyway;15
tonight;15
snake;15
send;15
seat;15
died;15
game;15
neck;15
times;15
owls;15
taking;15
arm;14
yelled;14
gasped;14
strange;14
arrived;14
twelve;14
alone;14
used;14
gryffindors;14
disappeared;14
eleven;14
legs;14
drive;14
today;14
pushed;14
fang;14
doors;14
hut;14
waiting;14
tiny;14
lamp;14
hell;14
chocolate;14
near;14
trees;14
forgotten;14
start;14
nimbus;14
rons;14
telling;14
seconds;13
sir;13
deep;13
bet;13
angry;13
evening;13
dragons;13
playing;13
potters;13
heads;13
wrong;13
maybe;13
snitch;13
sleep;13
ages;13
fingers;13
money;13
above;13
mad;13
pain;13
walls;13
raised;13
thinking;13
lucky;13
jumped;13
hit;13
having;13
understand;13
pocket;13
sent;13
usual;13
perhaps;13
watching;13
won;13
piers;13
learn;13
allowed;13
instead;13
loud;13
bane;13
liked;13
mail;13
dad;13
potions;13
tea;13
flew;12
dumbledores;12
sky;12
cart;12
yourself;12
privet;12
turban;12
chamber;12
muggles;12
slytherins;12
listen;12
ahead;12
seized;12
grabbed;12
turning;12
screamed;12
swung;12
nasty;12
terrible;12
smiled;12
quiet;12
leaving;12
worry;12
powerful;12
fact;12
bent;12
killed;12
late;12
quietly;12
follow;12
sudden;12
hurt;12
stuff;12
running;12
climbed;12
leapt;12
scar;12
third;12
became;12
thousand;12
pile;12
rock;11
buy;11
dear;11
vernons;11
body;11
ago;11
hurried;11
hufflepuff;11
true;11
onthe;11
tree;11
landed;11
days;11
blue;11
dare;11
ghost;11
pull;11
edge;11
practice;11
charlie;11
brooms;11
shoulder;11
decided;11
outof;11
middle;11
brothers;11
low;11
glasses;11
chess;11
leg;11
witch;11
birthday;11
crowd;11
shot;11
show;11
worse;11
shed;11
paper;11
steal;11
finished;11
please;11
friends;11
leaned;11
classroom;11
invisibility;11
firenze;11
nicolas;11
appeared;11
oclock;11
eye;11
expected;11
silence;11
spell;11
spotted;11
step;11
arent;11
thick;11
watch;11
kitchen;11
says;11
staircase;11
goes;10
flat;10
friend;10
several;10
obviously;10
row;10
malfoys;10
leaves;10
hour;10
heavy;10
soon;10
explain;10
hole;10
midnight;10
hold;10
hurry;10
glad;10
wondering;10
windows;10
goblin;10
hedwig;10
wild;10
nearer;10
hooch;10
hidden;10
rolled;10
toad;10
mom;10
breath;10
may;10
usually;10
miss;10
added;10
london;10
easy;10
path;10
ears;10
lay;10
matter;10
inthe;10
others;10
fifty;10
ready;10
expect;10
ones;10
knees;10
break;10
afternoon;10
shop;10
tothe;10
bludgers;10
although;10
carrying;10
point;10
twice;10
jerked;10
walk;10
portrait;10
young;10
youknowwho;10
apart;10
somehow;10
hung;10
wondered;10
wed;10
gray;10
sharp;10
flint;10
walking;10
secret;10
grounds;10
known;10
carefully;10
pink;10
balls;9
anythin;9
racing;9
inches;9
written;9
upstairs;9
son;9
clapped;9
tomorrow;9
bin;9
living;9
kind;9
card;9
cried;9
broke;9
shaking;9
during;9
tall;9
tail;9
bought;9
live;9
flavor;9
starting;9
keys;9
coat;9
odd;9
burst;9
brother;9
hermiones;9
girl;9
itharry;9
shouldnt;9
slid;9
wands;9
flying;9
beard;9
studying;9
crash;9
relief;9
smell;9
teacher;9
reminded;9
earth;9
cross;9
important;9
luck;9
real;9
touch;9
death;9
fall;9
keeper;9
free;9
steps;9
weasleys;9
seeker;9
sorting;9
wake;9
names;9
station;9
changed;9
hundreds;9
em;9
expelled;9
foot;9
leaky;9
waved;9
entrance;9
least;9
egg;9
lose;9
twin;9
needed;9
surprise;9
woke;9
hewas;9
lying;9
lock;9
doesnt;9
baby;9
brown;9
hanging;9
furiously;9
purple;9
probably;9
direction;9
rose;9
save;9
scared;8
nobody;8
normal;8
storm;8
dormitory;8
lessons;8
stool;8
chance;8
stands;8
thanks;8
six;8
facing;8
corridors;8
package;8
trunk;8
case;8
theyll;8
bowed;8
boat;8
couple;8
crept;8
sped;8
unless;8
dangerous;8
smile;8
bottle;8
trapdoor;8
sofa;8
happen;8
asking;8
realize;8
scabbers;8
wing;8
sister;8
none;8
gotta;8
warning;8
bludger;8
whisper;8
asthough;8
throwing;8
knowing;8
atthe;8
stick;8
mention;8
outta;8
lee;8
tower;8
lets;8
size;8
guarding;8
lead;8
laughing;8
key;8
jus;8
plant;8
gets;8
nervous;8
worth;8
pomfrey;8
weeks;8
clearly;8
breakfast;8
ice;8
questions;8
happy;8
norris;8
halfway;8
professormcgonagall;8
barrier;8
single;8
closer;8
families;8
careful;8
locked;8
clearing;8
eh;8
keeping;8
am;8
win;8
laughed;8
exams;8
narrow;8
wanting;8
often;8
agreed;8
eat;8
themselves;8
knock;8
parcel;8
shock;8
shows;8
holidays;8
hate;8
hang;8
road;7
higher;7
story;7
slipped;7
box;7
quills;7
faded;7
joined;7
sea;7
dean;7
awake;7
trolls;7
care;7
crying;7
toilet;7
spot;7
truth;7
covered;7
bottom;7
wonder;7
theground;7
pulling;7
summer;7
underground;7
swooped;7
giving;7
working;7
invisible;7
list;7
faces;7
wind;7
clutching;7
branches;7
wide;7
drew;7
presents;7
parchment;7
itwas;7
halloween;7
houses;7
myself;7
fear;7
prefect;7
piled;7
led;7
hated;7
following;7
surprised;7
drink;7
job;7
guard;7
learned;7
broken;7
diagon;7
minute;7
theywere;7
hedidnt;7
underneath;7
dressed;7
indeed;7
certainly;7
difficult;7
bloody;7
notice;7
ignored;7
safely;7
outharry;7
ways;7
sighed;7
anymore;7
lady;7
compartment;7
power;7
force;7
thin;7
chasers;7
rules;7
witches;7
fun;7
wooden;7
noses;7
study;7
stuck;7
news;7
intothe;7
sounded;7
horror;7
harder;7
shake;7
television;7
brave;7
lots;7
rushed;7
ear;7
forehead;7
ball;7
warned;7
hoping;7
die;7
business;7
jordan;7
opposite;7
worked;7
question;7
pressed;7
eating;7
roll;7
hurrying;6
carried;6
floating;6
herself;6
strode;6
twisted;6
passing;6
flute;6
wished;6
dungeons;6
finnigan;6
fighting;6
thedursleys;6
inhis;6
thrown;6
posts;6
change;6
breathing;6
draco;6
nodded;6
bag;6
simply;6
albus;6
pockets;6
sweater;6
cake;6
snout;6
rid;6
theyve;6
passageway;6
wherever;6
wants;6
motorcycle;6
summat;6
drove;6
seats;6
dived;6
tables;6
smelting;6
soft;6
jump;6
neither;6
clear;6
terrified;6
excuse;6
interested;6
midair;6
kicked;6
cause;6
evil;6
kings;6
pig;6
wish;6
lips;6
somethin;6
lily;6
throughthe;6
damp;6
sprang;6
moaned;6
breaking;6
fight;6
stairs;6
lurking;6
lived;6
shivered;6
stayed;6
angrily;6
peered;6
crossed;6
thousands;6
mistake;6
moving;6
leading;6
desperate;6
sounding;6
crate;6
twenty;6
club;6
ofhis;6
crack;6
hasnt;6
means;6
meant;6
remembered;6
dogs;6
longbottom;6
pack;6
mountain;6
less;6
cheer;6
murmured;6
knocking;6
speeding;6
stones;6
loads;6
control;6
interesting;6
split;6
grunted;6
dinner;6
nearest;6
yehve;6
wrapped;6
repeated;6
slammed;6
shes;6
filled;6
fathers;6
frogs;6
poor;6
perfect;6
homework;6
rule;6
afraid;6
saturday;6
shocked;6
swallowed;6
griphook;6
dragged;6
hot;6
history;6
garden;6
yesterday;6
voldemorts;6
difference;6
busy;6
extra;6
hissed;6
cleared;6
magical;6
proud;6
nervously;6
nevilles;6
teams;6
hehad;6
doorway;6
feather;6
mustache;6
remembrall;6
er;6
rang;6
losing;6
soccer;6
older;6
shall;6
ofthe;6
slightly;6
special;6
andthen;6
packed;6
notes;6
yeah;6
spent;6
seems;6
lumpy;6
speed;6
ministry;6
hiding;6
waving;6
peering;6
nostrils;6
curse;6
showing;6
feast;6
possible;6
grass;6
waited;6
golden;6
fallen;6
stars;6
hours;6
mustve;6
worried;6
cut;6
cry;6
footsteps;6
umbrella;6
newspaper;6
goal;5
figure;5
shelves;5
desk;5
stunned;5
wizarding;5
lemon;5
itll;5
cats;5
mood;5
becoming;5
silently;5
snowy;5
eggs;5
strangely;5
shoulders;5
age;5
goblins;5
trust;5
exam;5
rat;5
birds;5
favorite;5
firs;5
hoops;5
backward;5
fine;5
gamekeeper;5
figg;5
vault;5
clean;5
themi;5
binoculars;5
pop;5
meeting;5
imagining;5
sharply;5
line;5
spells;5
blew;5
carry;5
celebrating;5
girls;5
whod;5
panted;5
nor;5
whatever;5
flash;5
muttering;5
growled;5
stretched;5
bronze;5
marched;5
music;5
saved;5
mum;5
believed;5
beans;5
proper;5
forced;5
wonderful;5
sweets;5
bits;5
armor;5
touched;5
bill;5
tryingto;5
acrossthe;5
afew;5
sparks;5
clicked;5
planets;5
players;5
witchcraft;5
feathers;5
lit;5
tapped;5
herbology;5
bringing;5
ticket;5
solid;5
greatest;5
person;5
furious;5
yehll;5
tired;5
ginny;5
teeth;5
kid;5
squinting;5
bacon;5
joke;5
alive;5
ordinary;5
trembling;5
ropes;5
bottles;5
vanished;5
handed;5
elixir;5
courage;5
handle;5
listening;5
zoo;5
mysterious;5
pinned;5
finding;5
pieces;5
bell;5
reckon;5
sometimes;5
putting;5
mothers;5
hospital;5
bear;5
chair;5
arts;5
knight;5
lake;5
beneath;5
whether;5
twitched;5
wrist;5
avery;5
yours;5
purpose;5
curious;5
werewolf;5
teach;5
frightened;5
closed;5
threequarters;5
dive;5
dream;5
charms;5
locker;5
plates;5
easily;5
potion;5
piece;5
marble;5
needs;5
fly;5
food;5
attention;5
youngest;5
gran;5
envelope;5
voices;5
snarled;5
below;5
cheering;5
useful;5
peoples;5
cakes;5
chaser;5
mark;5
ravenclaw;5
ickle;5
training;5
term;5
water;5
short;5
shops;5
forbidden;5
chessmen;5
archway;5
struck;5
sank;5
h;5
clothes;4
tap;4
sandwiches;4
suggest;4
james;4
chuckled;4
missing;4
pairs;4
makes;4
sun;4
horse;4
miserably;4
thefront;4
office;4
bellowed;4
foolish;4
animals;4
broomsticks;4
bound;4
brilliant;4
explained;4
forgive;4
tabby;4
ithe;4
fireplace;4
flooded;4
sticks;4
restricted;4
sniffed;4
bolt;4
ours;4
ate;4
anywhere;4
rob;4
whistle;4
helped;4
finish;4
mumbled;4
younger;4
severus;4
filchs;4
moments;4
tight;4
struggled;4
auntpetunia;4
poking;4
prefects;4
uniform;4
itself;4
sticking;4
quivering;4
leaning;4
trash;4
return;4
nerves;4
atonce;4
wizardry;4
tape;4
norwegian;4
peculiar;4
september;4
infront;4
thirteen;4
galleons;4
stomach;4
choice;4
excitedly;4
freckles;4
charlies;4
seekers;4
cloaks;4
pay;4
wheres;4
moonlight;4
amazed;4
lies;4
drop;4
sneaking;4
exploded;4
youcould;4
speaking;4
transfiguration;4
chosen;4
shuffled;4
wandering;4
ofa;4
shrieked;4
lower;4
counted;4
hurtled;4
thedoor;4
bring;4
board;4
lives;4
struggling;4
boats;4
town;4
imagine;4
thecorner;4
blinked;4
cheers;4
harryhe;4
nextto;4
frantically;4
tohim;4
tohis;4
barked;4
darkness;4
nah;4
sweet;4
guess;4
tobe;4
patil;4
writing;4
ourselves;4
among;4
potatoes;4
map;4
skin;4
goodbye;4
upset;4
human;4
bite;4
mine;4
bike;4
part;4
quick;4
plump;4
manage;4
fixed;4
doubt;4
lie;4
perfectly;4
thirty;4
realizing;4
piercing;4
platforms;4
quill;4
roast;4
distant;4
thathad;4
mystry;4
ihave;4
thank;4
throw;4
thirdfloor;4
sideways;4
yourselves;4
meanwhile;4
clutched;4
player;4
bewitched;4
excitement;4
crashed;4
blocked;4
weak;4
overhead;4
clapping;4
toharry;4
unusual;4
tightly;4
silent;4
curtains;4
scrambled;4
centaurs;4
howling;4
thisharry;4
candy;4
himand;4
report;4
asusual;4
join;4
sick;4
anduncle;4
contact;4
entered;4
harrybut;4
offered;4
plastic;4
rubbish;4
gettin;4
takin;4
captain;4
pretending;4
eaten;4
ofthem;4
stranger;4
fangs;4
worst;4
telephone;4
fitted;4
gently;4
photographs;4
clock;4
happily;4
angelina;4
smallest;4
clambered;4
excellent;4
properly;4
centaur;4
frog;4
glared;4
fair;4
lookin;4
rude;4
eight;4
blame;4
threeheaded;4
beat;4
youhe;4
okay;4
impossible;4
warm;4
warn;4
ghosts;4
thinks;4
nothin;4
thundered;4
handkerchief;4
sausages;4
shadows;4
strongly;4
smoke;4
deeply;4
deeper;4
tocatch;4
hecouldnt;4
sparkling;4
become;4
rats;4
tears;4
downstairs;4
snare;4
fool;4
folk;4
visit;4
rain;4
section;4
relieved;4
suit;4
completely;4
grew;4
classes;4
grab;4
trophy;4
flick;4
woods;4
share;4
yehd;4
happens;4
vol;4
faint;4
therewas;4
neat;4
dyeh;4
darkly;4
marcus;4
opinion;4
lord;4
thatll;4
woken;4
wiping;4
drawing;4
bald;4
squashy;4
dry;4
mcgonagalls;4
shone;4
bags;4
sheets;4
possibly;4
glinting;4
whipped;4
finds;4
noticing;4
friar;4
sobbed;4
flames;4
possession;4
friendly;4
barely;4
blown;4
unwrapped;4
harryi;4
reflection;4
drills;4
thepoints;4
tut;4
beautiful;4
romania;4
hadbeen;4
serious;4
s;4
spiral;4
crunching;4
rattled;4
shooting;4
youknow;3
fault;3
overcoat;3
smooth;3
village;3
award;3
robe;3
owlery;3
roar;3
weather;3
stole;3
waitingfor;3
startofterm;3
unclevernon;3
enemies;3
pucey;3
plunged;3
horribly;3
buried;3
dancing;3
ripped;3
snatched;3
boa;3
anger;3
eachother;3
cursed;3
grubby;3
misty;3
humans;3
sayin;3
liking;3
eyed;3
battle;3
bobbing;3
deal;3
strong;3
bat;3
kiss;3
reflected;3
spread;3
commonroom;3
mentioned;3
didyou;3
sad;3
bowl;3
forbid;3
nerve;3
itit;3
nighttime;3
unicorns;3
protect;3
moon;3
results;3
strength;3
kick;3
andpulled;3
fluttering;3
nicholas;3
lightning;3
spying;3
jumping;3
cage;3
movement;3
theforbidden;3
hairy;3
smaller;3
duel;3
himwell;3
add;3
fleet;3
refereeing;3
packages;3
sorts;3
setting;3
building;3
harryyes;3
petrified;3
space;3
cannot;3
rattling;3
awayharry;3
hoped;3
games;3
harryyou;3
yawning;3
ought;3
scream;3
croaked;3
withhis;3
soul;3
laughter;3
confused;3
reptile;3
within;3
unpleasant;3
aboutthe;3
cream;3
song;3
owned;3
harryharry;3
sold;3
mutter;3
kitchens;3
alchemy;3
unfortunately;3
botts;3
knowwho;3
shadow;3
bravery;3
dashing;3
gives;3
saidharry;3
ajar;3
puffing;3
friday;3
rising;3
hethought;3
snow;3
pie;3
thefirst;3
monday;3
peas;3
enormous;3
roared;3
wise;3
roaring;3
echoed;3
wasthe;3
yellowish;3
yellow;3
kettle;3
tuesday;3
cost;3
treacle;3
hearts;3
