Text;Size
de;4556
y;3774
la;3067
que;2676
el;2673
en;2164
los;2097
a;1955
se;1544
no;1505
un;1229
las;1050
del;1003
una;946
lo;857
por;726
pero;720
frodo;672
más;598
con;595
al;584
dijo;561
como;499
había;480
señor;396
es;385
me;380
anillo;364
para;355
era;354
si;345
le;332
hobbits;314
o;305
bilbo;261
cuando;248
qué;243
ahora;233
muy;230
camino;227
sobre;226
hacia;223
todo;218
sam;213
anillos;210
gandalf;201
estaba;194
trancos;189
comunidad;186
hasta;185
tiempo;181
comarca;176
ya;176
él;175
pronto;173
este;171
todos;168
luego;165
aquí;163
entre;162
sin;160
allí;160
su;160
pues;158
habían;158
aunque;155
ni;155
luz;152
pippin;152
vez;150
ellos;150
merry;149
te;146
mucho;145
tom;143
desde;140
les;138
yo;137
fue;137
bien;133
noche;133
otra;130
fin;129
parecía;126
bolsón;125
viejo;125
hay;125
casa;122
mi;120
antes;119
puerta;119
así;118
tan;117
bosque;116
otros;115
tenía;115
algo;114
árboles;113
eran;113
mismo;112
todavía;111
allá;110
nos;110
poco;109
estaban;108
sus;107
sólo;106
elfos;105
nada;104
ojos;104
dos;103
otro;102
entonces;102
cosas;102
ha;101
esta;100
gente;99
mientras;97
modo;96
lejos;96
está;96
usted;95
bree;94
ese;93
unas;91
agua;90
unos;90
menos;90
he;90
años;88
día;88
sol;86
preguntó;86
sí;86
casi;85
nuevo;85
seguida;84
voz;84
también;84
nunca;82
lado;82
esto;81
aún;80
detrás;78
bajo;78
oeste;77
decir;77
ver;77
donde;76
fuego;75
norte;75
mano;75
mejor;75
pie;74
tres;73
historia;73
muchos;73
río;73
respondió;72
momento;72
oro;72
junto;72
tierras;71
aire;71
uno;71
cerca;70
mañana;70
muchas;70
jinetes;70
son;68
atrás;68
sé;67
siempre;67
largo;66
bastante;66
tarde;65
quizá;65
durante;65
colina;65
después;64
sido;64
demasiado;63
gollum;63
cerrado;63
grandes;62
fuera;62
sur;61
algunos;60
ningún;60
creo;59
hobbit;59
días;58
tierra;58
tú;58
dónde;58
sombra;58
gritó;57
cielo;57
viento;57
todas;57
mis;56
cómo;56
parte;56
esa;56
sendero;55
hombres;55
pies;55
hace;54
oído;54
silencio;54
cualquier;54
alrededor;54
bueno;54
volvió;54
haber;54
cosa;53
toda;53
verdad;52
veces;52
cabeza;52
hacer;52
hizo;52
grande;52
sombras;52
suelo;52
algún;51
oscuridad;51
podía;51
amigos;51
nosotros;50
posible;50
parece;50
tanto;49
tiene;49
hojas;49
cima;49
mantecona;49
tu;49
estado;49
eso;49
podría;48
gran;48
fueron;48
negros;47
piedra;47
mundo;47
nombre;47
pareció;46
verde;46
ser;45
claro;45
palabras;45
otras;44
caballo;44
estrellas;43
rápidamente;43
arriba;43
valle;43
ninguna;43
alguna;42
corazón;42
hierba;42
vieron;42
miró;42
hubiera;42
encima;42
abajo;41
colinas;41
peligro;41
hombre;41
estoy;41
vio;41
poder;41
poneys;41
tengo;40
enemigo;40
llegaron;40
puede;40
nadie;40
adelante;40
luna;40
loma;40
e;40
sintió;39
sea;39
hacía;39
oyó;39
pasado;39
seguro;39
paso;39
niebla;39
sonido;39
hubo;39
cara;38
aun;38
rato;38
visto;38
manos;38
menudo;37
maggot;37
cada;37
veras;37
exclamó;37
canción;37
montañas;37
mayoría;37
mí;37
llegar;36
duda;36
gamos;36
mirando;36
rivendel;36
lugar;36
enanos;36
pequeña;36
contra;36
brandigamo;36
baya;36
alto;35
siquiera;35
será;35
lentamente;35
oscuro;35
tenían;34
embargo;34
quién;34
buen;34
llegó;34
bombadil;34
tuk;34
última;33
árbol;33
buena;33
esos;33
poney;33
han;33
oh;33
bosques;33
mago;33
oír;32
quizás;32
ramas;32
esas;32
quien;32
apenas;32
prisa;31
parecían;31
hubiese;31
alguien;31
iba;31
negro;31
hermosa;31
dio;31
tener;30
larga;30
vino;30
clara;30
libro;30
hablar;30
gildor;30
jinete;30
comenzó;30
mesa;30
amigo;30
ella;30
sitio;30
gris;30
partir;30
sabe;29
dejó;29
pocos;29
sabía;29
hecho;29
cuatro;29
medio;29
mirada;29
sueño;29
estar;29
fuerte;29
ante;29
miedo;29
ruido;28
difícil;28
supuesto;28
secreto;28
puso;28
vuelta;28
millas;28
saber;28
sentado;28
has;28
quedó;28
viaje;28
espero;28
hobbiton;28
haya;28
tuvo;28
idea;27
joven;27
alta;27
lluvia;27
puedo;27
rió;27
historias;27
podían;27
dicho;27
encontrar;27
borde;27
quiero;27
cierto;27
están;27
delante;27
granjero;27
tío;27
aquella;27
salto;27
línea;27
estos;27
sería;27
oscura;27
cumpleaños;27
soy;26
cayó;26
cuenta;26
excepto;26
izquierda;26
mayor;26
gordo;26
puente;26
espada;26
estas;26
noticias;26
campos;26
cuidado;25
llegado;25
cama;25
último;25
aguas;25
puertas;25
comida;25
hora;25
encontraron;25
paz;25
comenzaron;25
media;25
piedras;25
mal;25
brandivino;25
bolsillo;25
gentes;25
ti;25
os;25
salió;25
llevaba;25
ventanas;25
baja;25
tus;25
ventana;25
región;24
venía;24
pocas;24
verdes;24
solo;24
pueden;24
sacovillabolsón;24
tesoro;24
desapareció;24
principal;24
principio;24
extraño;24
sino;24
dirección;24
quebradas;24
atención;24
detuvo;24
raíces;24
rápido;24
año;24
cena;24
lomas;24
rojo;24
dejado;23
quienes;23
posada;23
frente;23
fiesta;23
brillante;23
echó;23
miraron;23
derecha;23
siguiente;23
tienen;23
tenemos;23
nuestro;23
dice;23
juntos;23
tiempos;23
través;23
veía;22
vida;22
rey;22
blanco;22
nob;22
tomó;22
senda;22
fría;22
