Text;Size
et;7190
de;5900
les;4005
le;3842
la;3781
à;2469
il;2376
qui;2034
des;1917
que;1846
je;1612
leternel;1435
dans;1341
ils;1335
en;1320
vous;1256
pour;1198
ne;1058
du;1035
tu;1009
sur;942
fils;930
un;926
se;851
lui;813
ce;789
pas;780
est;762
dit;732
tous;708
avec;674
a;662
nous;653
une;650
leur;615
par;605
ses;572
roi;572
comme;569
son;568
au;535
tout;481
car;480
sa;464
sont;459
si;451
dieu;426
avait;406
quil;400
tes;393
point;391
disral;383
leurs;379
ceux;364
toi;363
ton;350
peuple;348
elle;347
te;337
pays;317
cest;315
aux;311
était;308
fait;295
toutes;295
contre;291
devant;282
enfants;281
jour;275
hommes;274
sera;273
plus;271
toute;269
celui;267
y;264
mon;263
seigneur;260
pourquoi;258
jésus;245
afin;235
ta;232
deux;228
jai;225
fit;220
me;219
voici;216
ces;215
maison;212
selon;211
aussi;206
ainsi;206
fut;205
mais;204
juda;197
quils;197
on;194
vos;190
où;190
étaient;189
parle;188
quand;185
terre;184
ont;181
moi;181
vers;179
cette;179
été;176
là;176
encore;173
homme;172
faire;171
psaume;167
parce;167
pre;166
eux;166
jusquà;166
ma;165
coeur;163
ni;161
lhomme;159
lorsque;159
répondit;158
parole;151
donc;150
mes;149
soit;148
isral;145
ville;145
suis;145
parmi;143
frres;142
as;142
femme;139
cela;139
choses;138
ou;138
chefs;137
seront;136
sans;135
aprs;133
jérusalem;131
votre;131
jours;130
david;130
yeux;130
nom;129
ny;125
elles;125
entre;124
cause;123
sacrificateur;117
nest;113
sacrificateurs;112
dun;111
rois;110
villes;110
furent;109
trois;109
dont;108
lamaison;107
pendant;107
temps;107
serviteurs;106
notre;106
avaient;105
dirent;102
ans;100
puis;99
serviteur;99
prit;96
auprs;95
mme;95
feu;95
paroles;95
sous;94
lieu;94
depuis;94
dis;92
quelle;92
chef;92
nations;90
sept;90
voix;90
donna;90
main;90
gens;90
loi;88
lon;86
dune;86
pres;86
aura;85
vie;85
jérémie;85
cté;85
milieu;85
samuel;83
pierre;83
avez;82
sil;82
alors;82
eternel;81
porte;81
josué;80
lun;80
eut;80
fille;79
rien;78
sang;77
colre;77
bien;77
tre;76
chez;76
habitants;75
autres;74
esae;74
armées;74
grande;73
saül;73
cet;73
quon;73
année;73
cent;72
frre;72
jacob;71
justice;71
chacun;71
ayant;70
grand;70
disant;70
chroniques;69
gloire;69
avons;69
sen;68
mille;68
donné;68
personne;68
tte;67
alla;67
salomon;67
philistins;67
nos;65
ferai;65
degypte;65
bouche;64
corps;64
cieux;64
fera;63
chair;63
prs;63
lépée;63
pharaon;63
sacrifice;63
juifs;63
part;63
lorsquil;63
firent;62
mains;62
prophtes;62
femmes;62
avoir;62
jean;60
lautel;60
donne;60
mose;60
dire;60
joseph;60
ciel;60
peuples;60
autre;59
lautre;59
désert;59
nombre;59
sanctuaire;59
es;58
fois;58
familles;57
tente;57
filles;57
reste;57
lévites;56
disciples;55
non;55
envoya;55
sagesse;54
foule;54
dor;54
aujourdhui;54
cris;54
vtements;54
fais;53
face;53
lesprit;53
lassemblée;53
quelquun;53
cinq;53
montagne;52
péché;52
chaque;52
leternelparlaàmoseetdit;52
maintenant;52
joie;51
livre;51
sujet;51
pris;51
beaucoup;51
service;50
quatre;50
venir;50
dargent;50
chose;50
seulement;49
job;49
gense;49
coudées;49
ai;49
mort;48
ennemis;48
sommes;48
dedieu;48
prophte;47
foi;47
leseigneur;47
larche;47
quelque;47
dentre;47
ezéchiel;47
entendu;47
joab;46
comment;46
vit;46
mer;46
vint;46
